"","x","y","cellType"
"565",190.561822125813,850.045553145336,"Immune"
"566",186.660569105691,1052.14837398374,"Immune"
"567",187.684210526316,1173.3971291866,"Keratin+ Tumour"
"568",188.888086642599,1487.06137184116,"p53+Tumour"
"569",190.034482758621,1645.65830721003,"Keratin+ Tumour"
"571",188.203349282297,1895.25119617225,"Immune"
"572",189.883392226148,948.144876325088,"Immune"
"573",194.612790697674,1538.19534883721,"p53+Tumour"
"574",193.109565217391,1597.47826086957,"Immune"
"575",193.294117647059,510.088235294118,"Keratin+ Tumour"
"576",192.829207920792,442.351485148515,"Keratin+ Tumour"
"577",188.734246575342,705.441095890411,"Immune"
"578",192.219026548673,806.305309734513,"Endothelial"
"579",195.872586872587,917.92277992278,"Immune"
"580",193.334577114428,1955.83084577114,"Immune"
"581",197.994124559342,70.0940070505288,"Keratin+ Tumour"
"584",194.515151515152,772.359307359307,"Immune"
"586",194.473214285714,621.986607142857,"Immune"
"587",190.107142857143,689.935714285714,"Immune"
"588",198.81757259866,1263.07669396873,"Immune"
"591",193.187675070028,870.635854341737,"Immune"
"592",192.574257425743,1023.46534653465,"Immune"
"593",203.484069886948,1511.21891058582,"Keratin+ Tumour"
"594",192.194690265487,1878.43362831858,"Immune"
"595",203.567635903919,139.70796460177,"Keratin+ Tumour"
"596",193.377551020408,789.704081632653,"Immune"
"597",198.676767676768,1854.36363636364,"Mesenchymal"
"598",195.834146341463,45.1463414634146,"Keratin+ Tumour"
"599",206.654801324503,303.889900662252,"p53+Tumour"
"600",205.074696545285,420.655462184874,"p53+Tumour"
"601",194.294736842105,962.831578947368,"Immune"
"602",200.145061728395,1197.2299382716,"Immune"
"603",196.794943820225,543.098314606742,"Immune"
"604",196.116279069767,753.031007751938,"Immune"
"606",197.739837398374,1159.54471544715,"Keratin+ Tumour"
"607",194.684397163121,1778.92907801418,"Keratin+ Tumour"
"608",198.137055837563,189.111675126904,"Keratin+ Tumour"
"609",196.771653543307,654.98687664042,"Immune"
"610",200.361904761905,1394.58095238095,"Immune"
"611",199.611691022965,1621.93110647182,"Keratin+ Tumour"
"613",201.387878787879,1317.33636363636,"Immune"
"614",205.239329268293,1339.05945121951,"Immune"
"615",200.211180124224,1725.41200828157,"Keratin+ Tumour"
"616",201.222222222222,31.7936507936508,"Keratin+ Tumour"
"619",206.017663043478,1700.77581521739,"Keratin+ Tumour"
"620",204.658493870403,472.299474605954,"Keratin+ Tumour"
"621",201.094395280236,975.507374631268,"Immune"
"622",202.249500998004,1669.68862275449,"Keratin+ Tumour"
"624",199.341463414634,355.219512195122,"Immune"
"625",205.273519163763,390.599303135888,"Immune"
"627",201.820512820513,1049.25213675214,"Immune"
"630",212.659090909091,268.351778656126,"p53+Tumour"
"631",212.695590327169,574.482219061166,"Immune"
"632",202.497807017544,1815.47149122807,"Keratin+ Tumour"
"634",208.207373271889,1035.47926267281,"Immune"
"635",205.345323741007,1762.83213429257,"Keratin+ Tumour"
"637",208.512621359223,1937.8427184466,"Keratin+ Tumour"
"638",206.769230769231,230.332692307692,"p53+Tumour"
"639",211.638783269962,1225.20785804816,"Immune"
"641",214.43045112782,1983.79323308271,"Keratin+ Tumour"
"642",207.434944237918,554.200743494424,"Immune"
"643",209.415714285714,706.775714285714,"Immune"
"644",205.334841628959,1015.9185520362,"Immune"
"645",207.16,1483.85333333333,"Keratin+ Tumour"
"646",211.237885462555,605.997063142438,"Immune"
"647",209.962305986696,823.133037694013,"Immune"
"648",214.171122994652,1644.78743315508,"Keratin+ Tumour"
"649",216.022517911975,104.837256908905,"Keratin+ Tumour"
"650",213.78813559322,453.513559322034,"Keratin+ Tumour"
"651",212.964285714286,1080.06181318681,"Immune"
"652",208.931726907631,1793.36144578313,"Keratin+ Tumour"
"653",211.158653846154,765.120192307692,"Immune"
"655",211.960784313725,794.291316526611,"Immune"
"657",211.768261964736,875.168765743073,"Immune"
"658",213.769497400347,993.429809358752,"Immune"
"659",209.214285714286,2015.28571428571,"Keratin+ Tumour"
"661",216.09475465313,646.837563451777,"Immune"
"663",208.335106382979,1360.64361702128,"Immune"
"665",215.741433021807,1543.71962616822,"Immune"
"666",212.238966630786,1902.31754574812,"Immune"
